job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
Role: Front End UI Developer,RisamSoft,"Bengaluru, Karnataka",Salary Not Mentioned,"Design and build out the front end of an application.
Collaborate with back-end web developers and programmers to improve usability.",30+ days ago,21-07-21
Front End Developer,Archik Technologies Pvt. Ltd.,"Bengaluru, Karnataka•Temporarily Remote","₹4,50,000 - ₹6,00,000 a year","Should be able to create beautiful and appealing User Interfaces.
Expert in understanding and improving user experience.
Total work: 3 years (Preferred).",27 days ago,21-07-21
Drupal Front-end Developer,Neosoft Technologies Pvt.Ltd,"Bengaluru, Karnataka",Salary Not Mentioned,"Knowledge of front-end tooling and environment (ie. Grunt, NPM, Bower, Gulp).
Collaborate with back-end engineers to evolve architectural best practices that…",15 days ago,21-07-21
,Hersecondinnings.com,"Bengaluru, Karnataka•Temporarily Remote",Salary Not Mentioned,Full stack developer (Front End Developer or Backend Developer) with Java/Python - Women on career break/ Women who can join Immediately.,4 days ago,21-07-21
Front End Developer,Stirred Creative Advertising,"Bengaluru, Karnataka","₹3,00,000 - ₹7,00,000 a year","Front-end development: 4 years (Preferred).
Around *5 years *of experience.
*Must have skills: *HTML, CSS, Bootstrap, jQuery & working with plugins, FTP,…",13 days ago,21-07-21
,Adobe,"Bengaluru, Karnataka",Salary Not Mentioned,"Experience with unit, integration and end to end testing.
Designing foundational front-end infrastructure to support UI dialogs, marketing promotions templates,…",Today,21-07-21
,TECH ENERGY,"Bengaluru, Karnataka","₹35,000 - ₹50,000 a month","Help back-end developers with coding and troubleshooting.
Collaborate with back-end developers and web designers to improve usability.",Just posted,21-07-21
Front End Developer,Meredith Corporation,"Bengaluru, Karnataka",Salary Not Mentioned,"Translation of designer mock-ups and templates into digital content.
Opportunities to work on the frameworks and Apple News technologies.",30+ days ago,21-07-21
Front End/UI/UX Web Developer,Oracle,"Bengaluru, Karnataka",Salary Not Mentioned,"3+ years of Professional Web front-end development experience UI, UX, Mockups, Wireframes, html-JavaScript.
As a member of Engineering Team for OFSAA-Platform &…",18 days ago,21-07-21
Freelance Front End Developer,CodeBiosis Private Limited,"Bengaluru, Karnataka•Temporarily Remote","₹9,000 - ₹10,000 a month","2+ Years of experience as front-end developer/UI developer.
Skills : Compulsory skills : HTML5, CSS3 (with SASS/LESS preferred), JavaScript, Bootstrap- Strong…",30+ days ago,21-07-21
,ZugZwang Academy,"Bengaluru, Karnataka•Remote","₹2,50,000 - ₹3,00,000 a year","We will start with an internship and deserving candidates will have the offer by the end of the internship.
Anyone with strong coding skills, logical thinking &…",6 days ago,21-07-21
,Palmate Solutions,"Bengaluru, Karnataka","₹20,000 - ₹45,000 a month","Creating wireframes, prototypes, and mockups.
Develop UI mockups and prototypes that clearly illustrate how sites function and look.",7 days ago,21-07-21
Web Front End Developer,IBM,"Bengaluru, Karnataka",Salary Not Mentioned,"Solid knowledge of front-end technology, familiar with JavaScript, HTML/CSS, Ajax, Json, etc.
Software Developers at IBM are the backbone of our strategic…",26 days ago,21-07-21
,Agiloft,"Bengaluru, Karnataka",Salary Not Mentioned,"Design, build and maintain efficient, reusable, secure, and reliable front-end code.
The ideal candidate is someone who is proficient in developing applications…",2 days ago,21-07-21
